식품이름,총내용량,열량(kcal),탄수화물(g),단백질(g),지방(g),당류(g),나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방(g)
베이컨체더치즈(슈퍼시드 함유 도우M),113,307.0,,14.0,,6.0,455.0,,6.0,
베이컨체더치즈 더블치즈엣지(오리지널 L),129,355.0,,17.0,,7.0,500.0,,7.0,
베이컨체더치즈 더블치즈엣지(오리지널 M),135,364.0,,18.0,,4.0,508.0,,9.0,
불고기(오리지널 L),158,436.0,,21.0,,5.0,624.0,,11.0,
불고기(오리지널 M),121,291.0,,15.0,,6.0,406.0,,5.0,
불고기(나폴리L),129,319.0,,16.0,,6.0,441.0,,5.0,
불고기(나폴리M),177,421.0,,2.0,,7.0,696.0,,9.0,
불고기(씬 L),102,250.0,,14.0,,4.0,388.0,,5.0,
불고기(씬 M),162,394.0,,22.0,,8.0,649.0,,10.0,
불고기(슈퍼시드 함유 도우L),125,312.0,,18.0,,6.0,545.0,,9.0,
불고기(슈퍼시드 함유 도우M),121,301.0,,15.0,,8.0,400.0,,4.0,
불고기 더블치즈엣지(오리지널 L),134,342.0,,16.0,,8.0,458.0,,5.0,
불고기 더블치즈엣지(오리지널 M),139,350.0,,18.0,,5.0,490.0,,7.0,
블랙앵거스 스테이크(오리지널 L),158,405.0,,21.0,,6.0,571.0,,8.0,
블랙앵거스 스테이크(오리지널 M),126,307.0,,14.0,,7.0,471.0,,5.0,
블랙앵거스 스테이크(나폴리L),160,383.0,,17.0,,10.0,612.0,,7.0,
블랙앵거스 스테이크(나폴리M),103,248.0,,12.0,,7.0,440.0,,6.0,
블랙앵거스 스테이크(씬 L),121,296.0,,14.0,,8.0,555.0,,7.0,
블랙앵거스 스테이크(씬 M),169,459.0,,20.0,,11.0,736.0,,12.0,
블랙앵거스 스테이크(슈퍼시드 함유 도우L),103,266.0,,12.0,,7.0,413.0,,7.0,
블랙앵거스 스테이크(슈퍼시드 함유 도우M),126,301.0,,14.0,,9.0,487.0,,5.0,
블랙앵거스 스테이크 더블치즈엣지(오리지널 L),158,369.0,,17.0,,13.0,611.0,,6.0,
블랙앵거스 스테이크 더블치즈엣지(오리지널 M),156,388.0,,19.0,,8.0,743.0,,9.0,
블랙타이거 슈림프(오리지널 L),198,488.0,,23.0,,11.0,954.0,,12.0,
블랙타이거 슈림프(오리지널 M),123,288.0,,13.0,,8.0,568.0,,4.0,
블랙타이거 슈림프(나폴리M),191,453.0,,20.0,,14.0,863.0,,6.0,
블랙타이거 슈림프(나폴리L),159,358.0,,18.0,,13.0,819.0,,6.0,
블랙타이거 슈림프(씬 M),188,431.0,,20.0,,16.0,956.0,,7.0,
블랙타이거 슈림프(씬 L),125,308.0,,14.0,,12.0,674.0,,8.0,
블랙타이거 슈림프(슈퍼시드 함유 도우L),157,403.0,,18.0,,16.0,821.0,,9.0,
블랙타이거 슈림프 더블치즈엣지(오리지널 L),118,290.0,,13.0,,10.0,517.0,,4.0,
블랙타이거슈림프(슈퍼시드 함유 도우M),144,363.0,,18.0,,9.0,770.0,,7.0,
블랙타이거슈림프 더블치즈엣지(오리지널 M),193,468.0,,21.0,,18.0,884.0,,8.0,
슈퍼디럭스(오리지널 L),248,625.0,,32.0,,15.0,1362.0,,14.0,
슈퍼디럭스(오리지널 M),134,307.0,,17.0,,3.0,439.0,,5.0,
슈퍼디럭스(나폴리L),150,386.0,,19.0,,4.0,481.0,,7.0,
슈퍼디럭스(나폴리M),107,251.0,,12.0,,3.0,358.0,,5.0,
슈퍼디럭스(씬 L),118,282.0,,15.0,,3.0,408.0,,6.0,
슈퍼디럭스(씬 M),186,450.0,,24.0,,4.0,692.0,,12.0,
슈퍼디럭스(슈퍼시드 함유 도우L),155,393.0,,20.0,,4.0,542.0,,10.0,
슈퍼디럭스(슈퍼시드 함유 도우M),133,332.0,,14.0,,3.0,533.0,,5.0,
슈퍼디럭스 더블치즈엣지(오리지널 L),149,373.0,,16.0,,5.0,629.0,,6.0,
슈퍼디럭스 더블치즈엣지(오리지널 M),159,359.0,,19.0,,3.0,587.0,,8.0,
슈퍼슈프림(오리지널 L),188,452.0,,24.0,,3.0,669.0,,10.0,
슈퍼슈프림(오리지널 M),151,321.0,,17.0,,5.0,462.0,,5.0,
슈퍼슈프림(나폴리L),168,366.0,,20.0,,5.0,461.0,,6.0,
슈퍼슈프림(나폴리M),123,246.0,,14.0,,4.0,392.0,,5.0,
슈퍼슈프림(씬 L),139,291.0,,16.0,,5.0,494.0,,6.0,
슈퍼슈프림(씬 M),111,236.0,,13.0,,4.0,353.0,,6.0,
슈퍼슈프림(슈퍼시드 함유 도우L),120,251.0,,15.0,,5.0,376.0,,7.0,
슈퍼슈프림(슈퍼시드 함유 도우M),146,335.0,,15.0,,8.0,579.0,,6.0,
슈퍼슈프림 더블치즈엣지(오리지널 L),165,385.0,,19.0,,9.0,628.0,,6.0,
슈퍼슈프림 더블치즈엣지(오리지널 M),172,374.0,,21.0,,5.0,518.0,,7.0,
와규 앤 비스테카(오리지널 L),193,433.0,,24.0,,5.0,587.0,,9.0,
와규 앤 비스테카(오리지널 M),130,305.0,,14.0,,8.0,374.0,,5.0,
와규 앤 비스테카(나폴리L),154,377.0,,16.0,,7.0,387.0,,6.0,
와규 앤 비스테카(나폴리M),107,247.0,,16.0,,7.0,310.0,,5.0,
와규 앤 비스테카(씬 L),130,306.0,,18.0,,7.0,379.0,,6.0,
와규 앤 비스테카(씬 M),179,477.0,,23.0,,15.0,602.0,,12.0,
와규 앤 비스테카(슈퍼시드 함유 도우L),104,262.0,,12.0,,7.0,307.0,,7.0,
와규 앤 비스테카(슈퍼시드 함유 도우M),131,306.0,,13.0,,8.0,363.0,,6.0,
와규 앤 비스테카 더블치즈엣지(오리지널 L),156,354.0,,16.0,,9.0,399.0,,6.0,
와규 앤 비스테카 더블치즈엣지(오리지널 M),163,388.0,,19.0,,8.0,712.0,,7.0,
우리 고구마(오리지널 L),198,484.0,,25.0,,9.0,934.0,,10.0,
우리 고구마(오리지널 M),128,321.0,,13.0,,9.0,441.0,,6.0,
우리 고구마(나폴리L),157,372.0,,15.0,,14.0,552.0,,6.0,
우리 고구마(나폴리M),107,273.0,,11.0,,9.0,406.0,,6.0,
우리 고구마(씬 L),134,311.0,,12.0,,12.0,475.0,,7.0,
우리 고구마(씬 M),175,482.0,,19.0,,17.0,682.0,,13.0,
우리 고구마(슈퍼시드 함유 도우L),109,277.0,,10.0,,13.0,389.0,,7.0,
우리 고구마(슈퍼시드 함유 도우M),130,338.0,,13.0,,10.0,494.0,,6.0,
우리 고구마 더블치즈엣지(오리지널 L),166,399.0,,15.0,,17.0,529.0,,7.0,
우리 고구마 더블치즈엣지(오리지널 M),156,399.0,,18.0,,9.0,696.0,,8.0,
직화 스테이크(오리지널 L),193,482.0,,22.0,,14.0,829.0,,11.0,
직화 스테이크(오리지널 M),126,304.0,,14.0,,5.0,587.0,,5.0,
직화 스테이크(나폴리L),160,370.0,,20.0,,6.0,752.0,,6.0,
직화 스테이크(나폴리M),100,240.0,,12.0,,4.0,497.0,,4.0,
직화 스테이크(씬 L),134,314.0,,16.0,,6.0,668.0,,6.0,
직화 스테이크(씬 M),162,444.0,,20.0,,6.0,886.0,,10.0,
직화 스테이크(슈퍼시드 함유 도우L),110,308.0,,14.0,,4.0,552.0,,8.0,
직화 스테이크(슈퍼시드 함유 도우M),124,308.0,,14.0,,6.0,568.0,,5.0,
직화 스테이크 더블치즈엣지(오리지널 M),162,406.0,,18.0,,8.0,756.0,,8.0,
직화 스테이크 더블치즈엣지(오리지널 L),194,480.0,,24.0,,6.0,1006.0,,10.0,
치즈(오리지널 L),151,364.0,,20.0,,5.0,815.0,,7.0,
치즈(오리지널 M),191,466.0,,24.0,,7.0,638.0,,6.0,
치즈(나폴리L),112,285.0,,15.0,,5.0,403.0,,4.0,
치즈(나폴리M),136,352.0,,19.0,,6.0,574.0,,7.0,
치즈(씬 L),116,305.0,,18.0,,5.0,460.0,,6.0,
치즈(씬 M),110,314.0,,17.0,,5.0,423.0,,9.0,
치즈(슈퍼시드 함유 도우L),124,374.0,,20.0,,5.0,572.0,,11.0,
치즈(슈퍼시드 함유 도우M),191,491.0,,24.0,,11.0,626.0,,7.0,
치즈 더블치즈엣지(오리지널 L),112,292.0,,14.0,,7.0,345.0,,4.0,
치즈가든(오리지널 L),243,601.0,,29.0,,9.0,905.0,,12.0,
치즈가든(오리지널 M),109,250.0,,10.0,,5.0,353.0,,3.0,
치즈가든(나폴리L),132,287.0,,14.0,,6.0,412.0,,4.0,
치즈가든(나폴리M),171,363.0,,16.0,,7.0,591.0,,5.0,
치즈가든(씬 L),100,209.0,,9.0,,3.0,338.0,,3.0,
치즈가든(씬 M),137,303.0,,12.0,,6.0,432.0,,7.0,
치즈가든(슈퍼시드 함유 도우L),114,249.0,,10.0,,6.0,375.0,,6.0,
치즈가든(슈퍼시드 함유 도우M),109,245.0,,11.0,,5.0,372.0,,3.0,
치즈가든 더블치즈엣지(오리지널 L),129,296.0,,11.0,,6.0,433.0,,3.0,
치즈가든 더블치즈엣지(오리지널 M),138,316.0,,15.0,,4.0,536.0,,5.0,
치즈피자 더블치즈엣지(오리지널 M),168,380.0,,19.0,,5.0,681.0,,7.0,
페퍼로니(오리지널 L),145,397.0,,20.0,,5.0,539.0,,8.0,
페퍼로니(오리지널 M),102,271.0,,14.0,,4.0,401.0,,5.0,
페퍼로니(나폴리L),118,327.0,,16.0,,4.0,445.0,,6.0,
페퍼로니(나폴리M),148,426.0,,24.0,,5.0,680.0,,9.0,
페퍼로니(씬 L),127,384.0,,20.0,,4.0,558.0,,8.0,
페퍼로니(씬 M),131,386.0,,22.0,,4.0,567.0,,11.0,
페퍼로니(슈퍼시드 함유 도우L),109,336.0,,18.0,,4.0,503.0,,10.0,
페퍼로니(슈퍼시드 함유 도우M),105,283.0,,14.0,,4.0,348.0,,4.0,
페퍼로니 더블치즈엣지(오리지널 L),124,341.0,,16.0,,6.0,445.0,,6.0,
페퍼로니 더블치즈엣지(오리지널 M),124,341.0,,16.0,,4.0,480.0,,7.0,
포테이토(오리지널 L),147,403.0,,20.0,,4.0,576.0,,9.0,
포테이토(오리지널 M),139,322.0,,15.0,,4.0,380.0,,4.0,
포테이토(나폴리L),149,352.0,,16.0,,4.0,380.0,,5.0,
포테이토(나폴리M),115,260.0,,15.0,,3.0,332.0,,4.0,
포테이토(씬 L),122,292.0,,16.0,,3.0,338.0,,5.0,
포테이토(씬 M),103,224.0,,12.0,,3.0,298.0,,5.0,
포테이토(슈퍼시드 함유 도우L),109,243.0,,12.0,,3.0,296.0,,5.0,
포테이토(슈퍼시드 함유 도우M),139,317.0,,15.0,,5.0,349.0,,4.0,
포테이토 더블치즈엣지(오리지널 L),150,350.0,,16.0,,5.0,377.0,,4.0,
포테이토 더블치즈엣지(오리지널 M),154,362.0,,18.0,,3.0,459.0,,6.0,
핫치킨(오리지널 L),174,422.0,,21.0,,4.0,495.0,,8.0,
핫치킨(오리지널 M),119,287.0,,13.0,,9.0,601.0,,3.0,
핫치킨(나폴리L),144,346.0,,15.0,,13.0,684.0,,3.0,
핫치킨(나폴리M),188,466.0,,22.0,,15.0,1066.0,,7.0,
핫치킨(씬 L),114,274.0,,14.0,,8.0,588.0,,4.0,
핫치킨(씬 M),152,410.0,,20.0,,18.0,942.0,,7.0,
핫치킨(슈퍼시드 함유 도우L),132,323.0,,15.0,,14.0,736.0,,6.0,
핫치킨(슈퍼시드 함유 도우M),119,297.0,,13.0,,10.0,563.0,,3.0,
핫치킨 더블치즈엣지(오리지널 L),146,361.0,,16.0,,10.0,632.0,,3.0,
핫치킨 더블치즈엣지(오리지널 M),143,356.0,,18.0,,8.0,757.0,,6.0,
먹물 오징어링,182,441.0,,22.0,,9.0,873.0,,7.0,
슈퍼곡물 치킨(10조각),105,650.0,,17.0,,1.0,721.0,,2.0,
옥수수 버터구이(6개),178,481.0,,36.0,,4.0,1025.0,,4.0,
치킨퐁듀 그라탕,176,370.0,,36.0,,20.0,542.0,,6.0,
퀴노아 치킨 샐러드,358,827.0,,32.0,,14.0,1965.0,,11.0,
트러플 리조또,137,121.0,,8.0,,10.0,153.0,,0.0,
포테이토 순살치킨(3조각),285,650.0,,17.0,,8.0,1123.0,,26.0,
프레시 코울슬로,305,729.0,,42.0,,12.0,1199.0,,5.0,
프레시 콘샐러드,100,133.0,,1.0,,9.0,158.0,,4.0,
프렌치 라따뚜이,100,135.0,,2.0,,11.0,315.0,,4.0,
하프&하프 스파게티 (NEW 치즈 & 화이트 크림),329,382.0,,20.0,,16.0,1237.0,,7.0,
화이트 크림 스파게티,395,705.0,,28.0,,11.0,1347.0,,18.0,
NEW 치즈 볼로네즈 스파게티,392,851.0,,29.0,,9.0,1258.0,,29.0,
티본스테이크&쉬림프(클래식)M,188,433.0,0.0,22.0,,13.0,740.0,,7.0,
티본스테이크&쉬림프(클래식)L,101,226.0,0.0,11.0,,7.0,380.0,,3.7,
티본스테이크&쉬림프(크런치)M,123,292.0,,13.0,,7.0,480.0,,4.3,
티본스테이크&쉬림프(크런치)L,121,292.0,,13.0,,7.0,460.0,,4.3,
티본스테이크&쉬림프(리치골드)M,118,286.0,,14.0,,7.0,480.0,,6.0,
티본스테이크&쉬림프(리치골드)L,113,274.0,,13.0,,7.0,460.0,,5.0,
티본스테이크&쉬림프(치즈크러스트)M,106,260.0,,14.0,,5.0,460.0,,5.0,
티본스테이크&쉬림프(치즈크러스트)L,105,254.0,,13.0,,5.0,430.0,,4.6,
더블치즈 티본스테이크(클래식)M,196,466.0,,23.0,,17.0,900.0,,7.0,
더블치즈 티본스테이크(클래식)L,199,471.0,,22.0,,19.0,880.0,,7.0,
더블치즈 티본스테이크(크런치)M,117,284.0,,13.0,,8.0,490.0,,4.2,
더블치즈 티본스테이크(크런치)L,118,285.0,,13.0,,8.0,480.0,,4.0,
더블치즈 티본스테이크(리치골드)M,115,282.0,,14.0,,8.0,520.0,,6.0,
더블치즈 티본스테이크(리치골드)L,110,267.0,,13.0,,8.0,480.0,,5.0,
더블치즈 티본스테이크(치즈크러스트)M,103,257.0,,14.0,,6.0,500.0,,5.0,
더블치즈 티본스테이크(치즈크러스트)L,101,248.0,,13.0,,6.0,460.0,,4.4,
쉬림프올인(클래식)M,192,392.0,,23.0,,6.0,650.0,,4.5,
쉬림프올인(클래식)L,100,207.0,,12.0,,3.0,330.0,,2.4,
쉬림프올인(크런치)M,117,274.0,,12.0,,5.0,430.0,,3.7,
쉬림프올인(크런치)L,124,290.0,,13.0,,5.0,450.0,,4.0,
쉬림프올인(리치골드)M,116,274.0,,14.0,,5.0,440.0,,5.0,
쉬림프올인(리치골드)L,116,270.0,,13.0,,5.0,420.0,,4.7,
쉬림프올인(치즈크러스트)M,104,247.0,,13.0,,3.0,400.0,,4.1,
쉬림프올인(치즈크러스트)L,107,249.0,,13.0,,3.0,400.0,,3.9,
갈릭버터쉬림프(클래식)M,187,440.0,,21.0,,9.0,640.0,,7.0,
갈릭버터쉬림프(클래식)L,101,233.0,,11.0,,5.0,340.0,,3.9,
갈릭버터쉬림프(크런치)M,120,294.0,,13.0,,6.0,450.0,,5.0,
갈릭버터쉬림프(크런치)L,127,312.0,,14.0,,6.0,480.0,,6.0,
갈릭버터쉬림프(리치골드)M,119,294.0,,15.0,,7.0,470.0,,6.0,
갈릭버터쉬림프(리치골드)L,118,293.0,,15.0,,6.0,460.0,,6.0,
갈릭버터쉬림프(치즈크러스트)M,107,266.0,,14.0,,4.0,420.0,,6.0,
갈릭버터쉬림프(치즈크러스트)L,110,271.0,,14.0,,4.0,420.0,,5.0,
토핑킹(크런치)M,118,297.0,,13.0,,6.0,510.0,,4.6,
토핑킹(크런치)L,123,310.0,,14.0,,6.0,530.0,,5.0,
토핑킹(리치골드)M,117,297.0,,16.0,,7.0,530.0,,6.0,
토핑킹(리치골드)L,114,291.0,,15.0,,6.0,510.0,,6.0,
토핑킹(치즈크러스트)M,105,270.0,,14.0,,4.0,480.0,,5.0,
토핑킹(치즈크러스트)L,106,269.0,,14.0,,4.0,460.0,,4.7,
치즈킹(크런치)M,123,322.0,,15.0,,5.0,520.0,,7.0,
치즈킹(크런치)L,126,331.0,,15.0,,5.0,530.0,,7.0,
치즈킹(리치골드)M,122,322.0,,17.0,,5.0,540.0,,9.0,
치즈킹(리치골드)L,117,311.0,,17.0,,5.0,520.0,,8.0,
치즈킹(치즈크러스트)M,110,295.0,,16.0,,3.0,490.0,,8.0,
치즈킹(치즈크러스트)L,109,290.0,,16.0,,3.0,470.0,,8.0,
큐브스테이크(크런치)M,121,304.0,,12.0,,6.0,510.0,,5.0,
큐브스테이크(크런치)L,129,321.0,,13.0,,7.0,550.0,,6.0,
큐브스테이크(리치골드)M,120,304.0,,15.0,,7.0,540.0,,7.0,
큐브스테이크(리치골드)L,121,301.0,,14.0,,7.0,540.0,,6.0,
큐브스테이크(치즈크러스트)M,108,276.0,,14.0,,4.0,490.0,,6.0,
큐브스테이크(치즈크러스트)L,113,280.0,,13.0,,5.0,490.0,,6.0,
갈릭마블 스테이크(크런치)M,118,284.0,,12.0,,5.0,464.0,,4.6,
갈릭마블 스테이크(크런치)L,124,300.0,,13.0,,5.0,479.0,,4.9,
갈릭마블 스테이크(리치골드)M,117,284.0,,13.0,,6.0,498.0,,6.0,
갈릭마블 스테이크(리치골드)L,116,300.0,,14.0,,5.0,480.0,,6.0,
갈릭마블 스테이크(치즈크러스트)M,105,257.0,,13.0,,3.0,471.0,,4.9,
갈릭마블 스테이크(치즈크러스트)L,107,259.0,,13.0,,3.0,457.0,,4.7,
쉬림프&스테이크 올인(크런치)M,117,278.0,,12.0,,5.0,,,4.1,
쉬림프&스테이크 올인(크런치)L,123,294.0,,13.0,,5.0,,,4.4,
쉬림프&스테이크 올인(리치골드)M,119,292.0,,14.0,,5.0,,,6.0,
쉬림프&스테이크 올인(리치골드)L,119,290.0,,14.0,,5.0,,,6.0,
쉬림프&스테이크 올인(치즈크러스트)M,104,250.0,,13.0,,3.0,,,4.4,
쉬림프&스테이크 올인(치즈크러스트)L,106,253.0,,13.0,,3.0,,,4.2,
직화불고기(크런치)M,108,296.0,,13.0,,5.0,430.0,,5.0,
직화불고기(크런치)L,113,308.0,,13.0,,5.0,450.0,,6.0,
직화불고기(리치골드)M,107,296.0,,15.0,,6.0,450.0,,7.0,
직화불고기(리치골드)L,104,289.0,,14.0,,5.0,430.0,,6.0,
직화불고기(치즈크러스트)M,191,536.0,,28.0,,6.0,800.0,,12.0,
직화불고기(치즈크러스트)L,192,535.0,,26.0,,6.0,770.0,,11.0,
수퍼슈프림(크런치)M,115,285.0,,12.0,,4.0,423.0,,4.5,
수퍼슈프림(크런치)L,126,309.0,,13.0,,5.0,462.0,,5.0,
수퍼슈프림(리치골드)M,113,283.0,,14.0,,5.0,458.0,,6.0,
수퍼슈프림(리치골드)L,117,289.0,,15.0,,5.0,463.0,,6.0,
수퍼슈프림(치즈크러스트)M,102,256.0,,13.0,,2.0,407.0,,4.8,
수퍼슈프림(치즈크러스트)L,108,267.0,,14.0,,3.0,406.0,,4.9,
베이컨포테이토(크런치)M,121,313.0,,12.0,,5.0,460.0,,4.5,
베이컨포테이토(크런치)L,131,333.0,,13.0,,5.0,487.0,,5.0,
베이컨포테이토(리치골드)M,119,311.0,,14.0,,5.0,495.0,,6.0,
베이컨포테이토(리치골드)L,122,313.0,,14.0,,5.0,482.0,,6.0,
베이컨포테이토(치즈크러스트)M,107,284.0,,13.0,,3.0,469.0,,4.8,
베이컨포테이토(치즈크러스트)L,113,291.0,,13.0,,3.0,465.0,,4.9,
직화불고기L,168,445.0,,21.0,,6.0,507.0,,7.0,
페페로니M,128,339.0,,15.0,,4.0,460.0,,4.4,
페페로니L,152,404.0,,18.0,,4.0,551.0,,5.0,
수퍼슈프림L,194,445.0,,22.0,,5.0,549.0,,6.0,
치즈M,133,346.0,,17.0,,4.0,420.0,,7.0,
치즈L,158,411.0,,20.0,,4.0,500.0,,8.0,
콘샐러드,100,100.0,,2.0,,7.0,272.0,,1.0,
코울슬로,100,87.0,,1.0,,10.0,204.0,,1.0,
크림치킨파스타,351,633.0,,24.0,,7.0,1250.0,,12.0,
상하이쉬림프파스타,321,498.0,,22.0,,19.0,1630.0,,5.0,
팝콘치킨,134,416.0,,21.0,,2.0,420.0,,6.0,
치즈볼,130,413.0,,21.0,,5.0,420.0,,7.0,
오리지날 윙 4조각,126,270.0,,27.0,,3.0,650.0,,4.0,
오리지날 윙 8조각,252,540.0,,54.0,,4.0,1310.0,,9.0,
스파이시윙 4조각,166,373.0,,28.0,,20.0,950.0,,4.0,
스파이시윙 8조각,292,643.0,,55.0,,23.0,1600.0,,9.0,
치킨텐더 4조각,150,283.0,,20.0,,1.0,750.0,,3.0,
치킨텐더 8조각,300,567.0,,39.0,,1.0,1500.0,,6.0,
리치치즈파스타,366,690.0,,24.0,,0.0,930.0,,11.0,
치즈크러스트 디핑소스,11,60.0,,0.0,,0.0,58.0,,1.0,
핫소스,2,1.0,,0.0,,0.0,12.0,,0.0,
바른생피클 L,120,50.0,,0.0,,9.0,5.0,,0.0,
바른생피클 M,70,55.0,,0.0,,11.0,5.0,,0.0,
갓치킨L(바삭한 크런치),136,410.0,,17.0,,6.0,600.0,,9.0,
갓치킨L(쫄깃한 클래식),145,381.0,,20.0,,5.0,583.0,,10.5,
순삭포테이토L(바삭한 크런치),154,496.0,,15.0,,3.0,560.0,,10.0,
순삭포테이토L(쫄깃한 클래식),125,353.0,,17.0,,5.0,626.0,,7.5,
케미콤보(쫄깃한 클래식),129,371.0,,17.0,,8.0,552.0,,6.7,
케미콤보(바삭한 크런치),129,306.0,,16.0,,6.0,520.0,,8.0,
폭폭치즈L(쫄깃한 클래식),158,413.0,,21.0,,6.0,645.0,,9.2,
폭폭치즈L(바삭한 크런치),121,372.0,,18.0,,5.0,532.0,,13.0,
얌얌페페로니L(쫄깃한 클래식),140,343.0,,16.0,,5.0,631.0,,6.9,
얌얌페페로니L(바삭한 크런치),106,343.0,,15.0,,4.0,488.0,,8.0,
씨푸드아일랜드 노엣지 R,106,265.0,,14.0,,5.0,550.0,,4.0,
씨푸드아일랜드 해쉬브라운R,121,311.0,,15.0,,6.0,598.0,,5.0,
씨푸드아일랜드 골드R,120,300.0,,15.0,,6.0,601.0,,6.0,
씨푸드아일랜드 크림치즈R,123,309.0,,14.0,,7.0,587.0,,6.0,
씨푸드아일랜드 에그타르트R,120,306.0,,14.0,,8.0,557.0,,6.0,
씨푸드아일랜드 치즈캡 R,118,297.0,,16.0,,5.0,630.0,,6.0,
씨푸드아일랜드 노엣지 L,133,341.0,,16.0,,6.0,670.0,,5.0,
씨푸드아일랜드 해쉬브라운 L,151,396.0,,17.0,,7.0,729.0,,6.0,
씨푸드아일랜드 골드L,149,383.0,,18.0,,7.0,734.0,,7.0,
씨푸드아일랜드 크림치즈 L,154,394.0,,17.0,,8.0,715.0,,7.0,
씨푸드아일랜드 에그타르트 L,149,390.0,,17.0,,9.0,679.0,,7.0,
씨푸드아일랜드 치즈캡 L,145,374.0,,19.0,,6.0,753.0,,6.0,
제주흑도새기 노엣지 R,195,454.0,,34.0,,12.0,792.0,,9.0,
제주흑도새기 해쉬브라운R,113,273.0,,18.0,,7.0,444.0,,6.0,
제주흑도새기 골드R,111,262.0,,19.0,,7.0,447.0,,6.0,
제주흑도새기 크림치즈R,115,271.0,,18.0,,8.0,433.0,,7.0,
제주흑도새기 에그타르트R,111,268.0,,18.0,,9.0,403.0,,6.0,
제주흑도새기 치즈캡 R,109,259.0,,20.0,,6.0,476.0,,6.0,
제주흑도새기 노엣지 L,126,296.0,,18.0,,6.0,464.0,,7.0,
제주흑도새기 해쉬브라운 L,145,352.0,,19.0,,7.0,524.0,,8.0,
제주흑도새기 골드L,143,339.0,,20.0,,7.0,528.0,,8.0,
제주흑도새기 크림치즈 L,147,350.0,,19.0,,8.0,509.0,,9.0,
제주흑도새기 에그타르트 L,143,346.0,,18.0,,10.0,473.0,,9.0,
제주흑도새기 치즈캡 L,139,329.0,,21.0,,6.0,547.0,,8.0,
치즈블라썸 스테이크 노엣지 R,193,510.0,,31.0,,6.0,844.0,,11.0,
치즈블라썸 스테이크 해쉬브라운R,112,301.0,,17.0,,4.0,470.0,,7.0,
치즈블라썸 스테이크 골드R,110,289.0,,17.0,,4.0,473.0,,7.0,
치즈블라썸 스테이크 크림치즈R,113,299.0,,17.0,,5.0,459.0,,7.0,
치즈블라썸 스테이크 에그타르트R,110,296.0,,16.0,,6.0,429.0,,7.0,
치즈블라썸 스테이크 치즈캡 R,113,262.0,,16.0,,3.0,548.0,,7.0,
치즈블라썸 스테이크 노엣지 L,122,321.0,,18.0,,4.0,558.0,,7.0,
치즈블라썸 스테이크 해쉬브라운 L,140,377.0,,19.0,,6.0,617.0,,8.0,
치즈블라썸 스테이크 골드L,134,364.0,,20.0,,6.0,621.0,,9.0,
치즈블라썸 스테이크 크림치즈 L,138,375.0,,19.0,,7.0,603.0,,9.0,
치즈블라썸 스테이크 에그타르트 L,134,371.0,,18.0,,8.0,567.0,,9.0,
치즈블라썸 스테이크 치즈캡 L,130,354.0,,21.0,,4.0,640.0,,8.0,
새우천왕 노엣지(오리진)R,176,435.0,,22.0,,10.0,742.0,,7.0,
새우천왕 치즈캡R,200,499.0,,27.0,,10.0,903.0,,10.0,
새우천왕 해쉬브라운R,103,233.0,,12.0,,6.0,419.0,,5.0,
새우천왕 에그타르트R,102,231.0,,11.0,,8.0,378.0,,5.0,
새우천왕 골드R,102,231.0,,12.0,,6.0,422.0,,5.0,
새우천왕 크림치즈R,105,234.0,,12.0,,7.0,408.0,,6.0,
새우천왕 노엣지(오리진)L,111,278.0,,14.0,,6.0,452.0,,4.0,
새우천왕 치즈캡L,123,311.0,,16.0,,6.0,535.0,,6.0,
새우천왕 해쉬브라운L,129,334.0,,15.0,,8.0,511.0,,6.0,
새우천왕 에그타르트L,128,327.0,,14.0,,10.0,461.0,,6.0,
새우천왕 골드L,128,320.0,,15.0,,8.0,516.0,,6.0,
새우천왕 크림치즈L,132,332.0,,15.0,,9.0,497.0,,7.0,
치우천왕 오리진R,178,450.0,,22.0,,10.0,718.0,,8.0,
치우천왕 치즈캡R,179,454.0,,29.0,,7.0,885.0,,8.0,
치우천왕 해쉬브라운R,185,481.0,,25.0,,10.0,821.0,,8.0,
치우천왕 에그타르트R,182,472.0,,24.0,,13.0,739.0,,9.0,
치우천왕 골드R,182,459.0,,26.0,,10.0,827.0,,8.0,
치우천왕 크림치즈R,189,477.0,,25.0,,11.0,798.0,,9.0,
치우천왕 노엣지L,104,265.0,,14.0,,5.0,554.0,,4.0,
치우천왕 치즈캡L,116,298.0,,17.0,,5.0,637.0,,5.0,
치우천왕 해쉬브라운L,122,321.0,,15.0,,6.0,614.0,,5.0,
치우천왕 에그타르트L,120,314.0,,15.0,,8.0,563.0,,6.0,
치우천왕 골드L,120,307.0,,16.0,,6.0,618.0,,6.0,
치우천왕 크림치즈L,125,319.0,,15.0,,7.0,599.0,,6.0,
트레비앙 해쉬브라운R,188,523.0,,21.0,,15.0,707.0,,9.0,
트레비앙 에그타르트R,184,514.0,,20.0,,19.0,626.0,,10.0,
트레비앙 오리진R,157,431.0,,19.0,,13.0,611.0,,7.0,
트레비앙 골드R,184,500.0,,21.0,,15.0,714.0,,10.0,
트레비앙 크림치즈R,191,519.0,,20.0,,17.0,684.0,,11.0,
트레비앙 치즈캡R,181,495.0,,24.0,,13.0,772.0,,10.0,
트레비앙 해쉬브라운L,126,348.0,,15.0,,10.0,480.0,,6.0,
트레비앙 에그타르트L,124,342.0,,14.0,,12.0,430.0,,7.0,
